yr,blk,ag01,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
"23","G","151819",36656,71572815,0,0,7755861,0,0,0,0,85696,85224879,0
"23","G","151826",9051845,68152270,0,0,0,0,-9393625,0,0,820746,0,0
"23","G","151827",0,5187237,0,0,0,0,8751585,0,0,16561,0,0
"23","G","151830",0,5407495,0,0,0,0,1782997,0,0,56088,0,0
"23","G","151836",0,204033823,0,0,545045,0,-161627100,0,0,1492274,6282455,0
"23","G","151839",458000,5382000,0,13317000,2068343,0,-5515000,0,0,0,39025343,0
"23","G","151841",0,4131879,0,0,247450,0,9261580,0,0,0,7069992,0
"23","G","151846",3585613,12717603,0,0,1030919,0,-2232452,0,0,0,18563564,0
"23","G","151848",6720545,204389808,52924440,0,2398694,0,-69748589,1500000,0,7420381,20968548,12946714
"23","G","151849",11036349,10534921,0,0,114232,0,-6613658,0,0,1250387,1241157,0
"23","G","151851",1056437,2861914,0,0,0,0,24288,0,0,0,0,0
"23","G","151852",2794409,8597346,0,0,0,0,-23723780,0,0,886393,0,0
"23","G","151855",0,32638524,0,0,959162,0,-4741719,0,0,2292179,10550780,0
"23","G","151858",32541239,0,0,0,0,0,0,0,0,47715,0,0
"23","G","151862",0,12215403,0,0,0,0,194315,0,0,0,0,0
"23","G","151866",0,105342951,0,0,8249759,0,-10517519,0,0,570170,90747349,0
"23","G","151867",30678787,48569,0,0,6306292,0,-1029708,0,0,0,69369206,0
"23","G","151874",0,5531140,0,0,71831,0,-1160965,0,0,220149,789384,0
"23","G","151881",0,1123065,0,0,0,0,0,0,0,0,0,0
"23","G","151882",3900000,1782000,0,0,0,0,-2967760,0,0,0,0,0
"23","G","151889",659139,126031765,0,0,3535973,0,-1548605,0,0,3067187,28792929,0
"23","G","151890",0,0,0,0,0,0,0,0,0,1987027,307032,0
"23","G","151891",1041452,6430255,0,6849640,0,0,-2161509,0,0,8130,0,0
"23","G","151892",7724309,5724437,0,0,0,0,27352290,0,0,1516052,0,0
"23","G","151893",1525686,0,0,0,0,0,-3938052,0,0,24389,0,0
"23","G","151897",0,1126806,0,0,775293,0,-259364,0,0,0,7906764,0
"23","G","151900",18463078,136562650,0,0,4978393,0,23348587,0,0,2350607,35559949,0
"23","G","151907",5851021,586274,0,0,0,0,-793454,0,0,0,0,0
"23","G","151908",0,30746192,0,0,0,0,-3717937,60000,0,26757,0,0
"23","G","151909",26154061,0,0,0,0,0,0,0,0,0,0,0
"23","G","151918",3253586,2,0,0,0,0,0,0,0,0,0,0
"23","G","151920",0,3118989,0,0,269946,0,-8381699,32076,0,15258,2346458,0
"23","G","151923",0,595184,0,0,0,0,-196068,0,0,673396,0,0
"23","G","151928",5371782,80100,0,0,0,0,-760768,0,0,34749,0,0
"23","G","151935",0,48000,0,0,0,0,-579000,5550000,0,150000,0,0
"23","G","151939",2046097,7920153,0,0,0,0,-606903,0,0,16937,0,0
"23","G","151943",293610,16685467,0,0,0,0,-9075180,75000,0,109313,0,0
"23","G","151945",1258272,5285630,0,0,4626668,0,0,1050000,0,55669,24323970,0
"23","G","151947",0,329745,0,0,1311367,0,-4471543,0,0,259796,17703462,0
"23","G","151949",24164000,52972000,0,14989000,13963200,0,7147000,0,0,1928000,149090200,0
"23","G","151950",220000,9481000,1437000,0,0,14000000,-17791000,0,0,267000,0,0
"23","G","151952",42581230,10759556,0,0,13742534,0,18450508,0,0,1679380,137924448,0
"23","G","151953",219903,68239700,0,0,0,0,-2610980,0,0,764,0,0
"23","G","151955",0,299616,0,0,0,0,168295,0,0,24591,0,562
"23","G","151957",4265667,85048,0,0,10136,0,-130689,0,0,3476,101364,0
"23","G","151958",13067000,46713000,0,5134000,0,0,26694000,0,0,1168000,0,0
"23","G","151961",0,1598608,0,0,0,0,680424,0,0,2450,0,0
"23","G","151962",14831900,214150187,42140657,0,77412788,0,999600,2750000,0,4979262,722519357,0
"23","G","151968",0,1545203,0,0,0,0,-54283,0,0,0,0,0
"23","G","151975",53335356,35099432,0,0,0,0,-1784765,0,0,4615058,0,0
"23","G","151980",0,47282257,0,0,267978,0,0,60000,0,3703846,2679784,0
"23","G","151983",902760,1645780,0,0,0,0,77600,0,0,54500,0,0
"23","G","151985",42002634,5888221,0,0,0,0,0,0,0,3682650,0,0
"23","G","151986",0,2731686,0,0,0,0,-2757030,0,0,4791,0,0
"23","G","151987",3223839,154732,0,0,0,0,-1494968,0,0,0,0,0
"23","G","151993",29748270,3737,0,0,0,0,0,0,0,0,0,0
"23","G","151994",51108,10192478,0,0,195312,0,1050070,0,0,169014,1953120,0
"23","G","151997",394322,21086112,0,0,2112968,0,1014437,0,0,286335,23044733,0
"23","G","151998",7949580,0,0,0,0,0,0,0,0,800532,0,0
"23","G","152003",29459902,928,0,0,0,0,0,0,0,0,0,0
"23","G","152004",0,8139083,0,0,0,0,3286117,0,0,9884,0,0
"23","G","152008",650268,3207804,0,0,1698205,0,-2000966,0,0,0,22925890,0
"23","G","152009",0,0,0,0,0,0,-1255642,0,0,649990,0,0
"23","G","152012",39043058,0,0,0,0,0,0,0,0,62980,0,0
"23","G","152013",0,20247090,0,0,0,0,3765434,0,0,207583,0,0
"23","G","152015",13339912,17533186,0,0,858082,0,0,0,0,469881,9852661,0
"23","G","152016",385031,124782,0,0,2139205,0,0,0,0,1019232,30661934,51000
"23","G","152021",23120000,59825000,11862000,0,0,0,-7004000,0,0,2906000,0,0
"23","G","152022",73407,342143,0,0,0,0,583576,0,0,0,0,0
"23","G","152024",21587531,13620568,0,0,91605,0,-1916580,0,0,0,916055,250000
"23","G","152028",66380,37869377,0,0,225760,0,-7516947,0,0,0,2257598,0
"23","G","152029",0,48859872,0,0,355921,0,-4114000,0,0,9247641,3809213,0
"23","G","152034",1885248,12456605,14824496,0,0,0,1016910,0,0,943511,0,0
"23","G","152035",0,38683299,0,0,0,0,-5832194,0,0,594688,0,0
"23","G","152036",10393379,16029620,0,0,12199167,0,-254190478,0,0,14050360,130297967,0
"23","G","152039",8684488,831137,0,0,0,0,-175556,0,0,1607,0,0
"23","G","152043",152000,82756000,0,0,0,0,6715000,0,0,0,0,0
"23","G","152049",0,6336756,0,0,0,0,-18500,0,0,1435905,0,0
"23","G","152055",0,18048579,0,0,0,0,0,0,0,0,0,1169784
"23","G","152057",0,10288979,0,0,0,0,-2144095,0,0,727308,0,0
"23","G","152058",4750357,308825,0,0,0,0,0,0,0,0,0,0
"23","G","152059",75584803,375,0,0,0,0,0,0,0,101883,0,0
"23","G","152061",0,25532983,0,0,205800,0,5633660,0,0,35661,2949797,0
"23","G","152062",32585451,11414385,0,0,1959441,0,2088321,0,0,91298,19751841,0
"23","G","152067",31372,27065410,0,0,203248,0,3627180,0,0,916312,4268214,0
"23","G","152068",0,3677647,0,0,0,0,-4587453,0,0,4222,0,0
"23","G","152069",1236896,2071168,0,0,104803,0,-497300,0,0,4190,1606289,0
"23","G","152071",0,0,0,0,0,0,-7125216,0,0,0,0,0
"23","G","152072",0,17544,0,0,0,1237500,134240089,0,0,0,0,0
"23","G","152079",689182,9501585,0,0,0,0,256993,0,0,0,0,0
"23","G","152081",1407183,0,0,0,53271,0,1546124,0,0,0,719031,0
"23","G","152087",168000,0,0,0,27772522,0,-14085500,0,0,106500,347156522,0
"23","G","152088",0,0,0,0,6903,0,76189,0,0,0,86276,0
"23","G","152091",0,150,0,0,426518,0,11446523,0,0,12981,6741117,0
"23","G","152093",133349738,415059,0,0,340613,0,18647308,0,0,0,5206500,0
"23","G","152095",102393653,11986834,0,0,0,0,2422081,0,0,0,0,0
"23","G","152096",0,11534650,0,0,0,0,0,0,0,662209,0,0
"23","G","152102",6796901,2318833,0,0,0,0,0,0,0,108601,0,0
"23","G","152110",0,112895,0,0,0,0,-1284385,0,0,0,0,0
"23","G","152111",0,9832969,0,0,0,0,-26798860,0,0,119591,0,0
"23","G","152118",1918506,6370026,0,5239342,0,0,-328778,0,0,0,0,0
"23","G","152121",17756416,1386,0,0,0,0,0,0,0,17045,0,0
"23","G","152127",0,172731,0,0,0,0,1902352,0,0,271432,0,0
"23","G","152129",6774529,15070862,0,0,0,0,788187,0,0,0,0,0
"23","G","152133",4394118,25990163,0,0,0,0,2742033,0,0,22434,0,0
"23","G","152137",15190416,18344271,0,0,5235271,0,-298103,2640000,0,16946,24575683,25955
"23","G","152138",11700328,33771,0,0,0,0,13402653,0,0,241365,0,0
"23","G","152139",0,14284,0,0,0,0,359886,0,0,12041,0,0
"23","G","152148",4996547,836131,0,0,0,0,6443659,0,0,0,0,0
"23","G","152150",0,45789912,0,0,0,1200000,-57204499,0,0,21591,0,0
"23","G","152162",237338100,142683000,0,13529000,0,0,-47709500,0,0,3472000,0,0
