yr,blk,ai01,i_i1,i_i3,i_i4,i_i5,i_i6,i_i7
"23","I","100678",7,"9994000",0,0.00,71002984,0.00
"23","I","100681",1,"3424020",9,3206380.25,54861166,17.11
"23","I","100681",7,"9994000",0,0.00,54861166,0.00
"23","I","100682",1,"3422015",27,286.00,80218569,280484.51
"23","I","100682",7,"9994000",0,0.00,80218569,0.00
"23","I","100683",8,"3422099",27,448.55,67149261,149704.15
"23","I","100683",9,"3423135",9,16594.57,4402871,265.32
"23","I","100683",10,"3525049",9,35.81,109277,3051.96
"23","I","100683",1,"2321008",9,11443.08,3751270,327.82
"23","I","100683",3,"3350002",9,238797.90,30492104,127.69
"23","I","100683",5,"3418001",9,119.68,15024,125.53
"23","I","100683",2,"3342008",27,323.00,67104076,207752.56
"23","I","100683",4,"3414028",9,558.00,2144878,3843.87
"23","I","100683",6,"9922100",0,0.00,17324383,0.00
"23","I","100683",7,"9994000",0,0.00,192493144,0.00
"23","I","100684",1,"4293299",15,1902771.00,60288728,31.68
"23","I","100684",7,"9994000",0,0.00,60288728,0.00
"23","I","100685",1,"3526002",9,5.36,113193,21121.36
"23","I","100685",4,"3526031",9,134.21,466607,3476.60
"23","I","100685",5,"3526046",9,4.05,53528,13209.22
"23","I","100685",8,"3526049",9,99.17,908132,9157.53
"23","I","100685",10,"3526062",9,1.02,292538,287047.66
"23","I","100685",13,"3526084",9,621.27,7427711,11955.64
"23","I","100685",2,"3526010",9,3440.00,1505094,437.53
"23","I","100685",3,"3526011",9,14402.00,41548592,2884.92
"23","I","100685",9,"3526061",9,12007.00,17344353,1444.52
"23","I","100685",11,"3526064",9,224.00,495832,2213.54
"23","I","100685",12,"3526066",9,15281.00,10366895,678.42
"23","I","100685",6,"9922100",0,0.00,2244583,0.00
"23","I","100685",7,"9994000",0,0.00,82767058,0.00
"23","I","100686",1,"3532321",9,77.28,246446,3188.99
"23","I","100686",5,"3699001",9,1652.61,1721972,1041.97
"23","I","100686",2,"2321008",9,3150.00,1193850,379.00
"23","I","100686",3,"3525045",9,88.80,119880,1350.00
"23","I","100686",4,"3525010",9,496.00,6761040,13631.13
"23","I","100686",6,"9922100",0,0.00,1516988,0.00
"23","I","100686",7,"9994000",0,0.00,11560176,0.00
"23","I","100687",1,"3527099",9,12820.00,93894610,7324.07
"23","I","100687",7,"9994000",0,0.00,93894610,0.00
"23","I","100690",1,"3471007",27,420.00,67227413,160065.27
"23","I","100690",7,"9994000",0,0.00,67227413,0.00
"23","I","100691",1,"3525010",9,3000.00,25311200,8437.07
"23","I","100691",2,"3525023",9,1500.00,2849438,1899.63
"23","I","100691",3,"3529003",9,52184.00,348867448,6685.33
"23","I","100691",6,"9922100",0,0.00,11597299,0.00
"23","I","100691",7,"9994000",0,0.00,388625385,0.00
"23","I","100692",1,"3525099",9,405576.47,1176224474,2900.13
"23","I","100692",8,"3526065",9,29.00,32063780,1105647.59
"23","I","100692",9,"3526009",9,314.00,107025323,340844.98
"23","I","100692",2,"3525050",9,133.00,15751733,118434.08
"23","I","100692",3,"3525016",9,733.00,11539316,15742.59
"23","I","100692",4,"3525017",9,3578.00,33808558,9449.01
"23","I","100692",5,"3525019",9,276.00,4175906,15130.09
"23","I","100692",6,"9922100",0,0.00,193593770,0.00
"23","I","100692",7,"9994000",0,0.00,1574182860,0.00
"23","I","100694",1,"3525091",9,3923.14,11503503,2932.22
"23","I","100694",7,"9994000",0,0.00,11503503,0.00
"23","I","100698",1,"3525010",9,738.47,8983641,12165.21
"23","I","100698",2,"3525053",9,469.65,3690135,7857.20
"23","I","100698",3,"3526031",9,10119.23,65305660,6453.62
"23","I","100698",4,"3527046",9,241000.67,2055559853,8529.27
"23","I","100698",7,"9994000",0,0.00,2133539289,0.00
"23","I","100702",1,"3527025",9,32623.00,9167726,281.02
"23","I","100702",2,"3525024",9,1008.00,3564293,3536.00
"23","I","100702",7,"9994000",0,0.00,12732019,0.00
"23","I","100703",1,"3527099",9,4278.00,7208720,1685.07
"23","I","100703",7,"9994000",0,0.00,7208720,0.00
"23","I","100704",1,"3542000",27,29.10,12761250,438479.97
"23","I","100704",7,"9994000",0,0.00,12761250,0.00
"23","I","100707",4,"3527099",9,76064.25,566267951,7444.60
"23","I","100707",1,"3527067",9,285.00,53863053,188993.17
"23","I","100707",2,"3527075",9,886.00,96262439,108648.35
"23","I","100707",3,"3527079",9,108.00,22386359,207281.10
"23","I","100707",7,"9994000",0,0.00,738779802,0.00
"23","I","100711",1,"3525069",9,119653.56,888775852,7427.91
"23","I","100711",7,"9994000",0,0.00,888775852,0.00
"23","I","100718",1,"3525017",9,10100.00,78257113,7748.23
"23","I","100718",2,"3525018",9,500.00,6156060,12312.12
"23","I","100718",3,"3527099",9,1000.00,7151700,7151.70
"23","I","100718",7,"9994000",0,0.00,91564873,0.00
"23","I","100733",8,"3526061",9,458.60,6310402,13760.28
"23","I","100733",10,"3424018",27,3.31,1060923,320832.84
"23","I","100733",1,"3423127",9,13727.64,17365598,1265.01
"23","I","100733",5,"3525009",9,294.30,7519774,25551.70
"23","I","100733",9,"3525064",9,14.75,4000145,271196.27
"23","I","100733",2,"3526013",9,204.00,13744076,67372.92
"23","I","100733",3,"3526046",9,1426.00,13709290,9613.81
"23","I","100733",4,"3525052",9,44.00,12277790,279040.68
"23","I","100733",6,"9922100",0,0.00,4093723,0.00
"23","I","100733",7,"9994000",0,0.00,80081721,0.00
"23","I","100737",4,"3526007",9,215.55,3053003,14163.71
"23","I","100737",5,"3526006",9,1.75,50670,28901.41
"23","I","100737",1,"3526011",9,54378.00,144571791,2658.64
